tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,n_alarm,median_alarm_chunk,mode__approached_target_without_observed_contact__n,mode__approached_target_without_observed_contact__hit,mode__approached_target_without_observed_contact__coverage,mode__goal_predicate_regressed__n,mode__goal_predicate_regressed__hit,mode__goal_predicate_regressed__coverage,mode__object_moved_but_goal_unmet__n,mode__object_moved_but_goal_unmet__hit,mode__object_moved_but_goal_unmet__coverage,mode__object_released_or_dropped_before_goal__n,mode__object_released_or_dropped_before_goal__hit,mode__object_released_or_dropped_before_goal__coverage,mode__object_released_outside_goal__n,mode__object_released_outside_goal__hit,mode__object_released_outside_goal__coverage,mode__stable_grasp_not_observed__n,mode__stable_grasp_not_observed__hit,mode__stable_grasp_not_observed__coverage,mode__timeout_while_holding_target__n,mode__timeout_while_holding_target__hit,mode__timeout_while_holding_target__coverage,worst_mode_coverage,mean_mode_coverage,mode_cv,n_modes_scored,heads,n_heads,k,frames,n_frames,has_duplicate_pair,fits_dev_fp_cap,pool,mode
364,68,0.7474332648870636,0.004750925731852163,0.8425925925925926,85,48,0.6390977443609023,0.23351648351648352,0.5360944692922369,1.5717240912874944,432,22.0,14,11,0.7857142857142857,28,24,0.8571428571428571,72,42,0.5833333333333334,218,163,0.7477064220183486,18,11,0.6111111111111112,116,96,0.8275862068965517,14,11,0.7857142857142857,0.5833333333333334,0.7426155002758248,0.1314878213891291,7,conditional_energy|global+expert_load_effective_rank|global+flow_path|global+mobility|global+partial_edge_std|global,5,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,primary,global
364,68,0.7474332648870636,0.004750925731852163,0.8425925925925926,85,48,0.6390977443609023,0.23351648351648352,0.5360944692922369,1.5717240912874944,432,22.0,14,11,0.7857142857142857,28,24,0.8571428571428571,72,42,0.5833333333333334,218,163,0.7477064220183486,18,11,0.6111111111111112,116,96,0.8275862068965517,14,11,0.7857142857142857,0.5833333333333334,0.7426155002758248,0.1314878213891291,7,expert_load_effective_rank|global+flow_path|global+mobility|global+partial_edge_std|global+state_action_alignment|global,5,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,primary,global
364,53,0.7474332648870636,0.0037029274086494797,0.8729016786570744,56,25,0.691358024691358,0.15384615384615385,0.5885537585954098,1.4831299025942235,417,24.0,14,8,0.5714285714285714,28,26,0.9285714285714286,72,41,0.5694444444444444,218,165,0.7568807339449541,18,12,0.6666666666666666,116,94,0.8103448275862069,14,12,0.8571428571428571,0.5694444444444444,0.7372113613978756,0.1756261302892696,7,conditional_energy|global+conditional_query_d1|global+expert_load_effective_rank|global+flow_path|global+mobility|global,5,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,primary,global
364,53,0.7474332648870636,0.0037029274086494797,0.8729016786570744,56,25,0.691358024691358,0.15384615384615385,0.5885537585954098,1.4831299025942235,417,24.0,14,8,0.5714285714285714,28,26,0.9285714285714286,72,41,0.5694444444444444,218,165,0.7568807339449541,18,12,0.6666666666666666,116,94,0.8103448275862069,14,12,0.8571428571428571,0.5694444444444444,0.7372113613978756,0.1756261302892696,7,conditional_query_d1|global+expert_load_effective_rank|global+flow_path|global+mobility|global+state_action_alignment|global,5,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,primary,global
356,55,0.731006160164271,0.003842660518409837,0.8661800486618005,57,27,0.6785714285714286,0.1601123595505618,0.577837082922483,1.4990039134923412,411,24.0,14,8,0.5714285714285714,28,25,0.8928571428571429,72,41,0.5694444444444444,218,162,0.7431192660550459,18,11,0.6111111111111112,116,94,0.8103448275862069,14,9,0.6428571428571429,0.5694444444444444,0.6915946437628094,0.1688680821629831,7,conditional_energy|global+conditional_query_d1|global+expert_load_effective_rank|global+flow_endpoint|global+mobility|global,5,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,primary,global
356,55,0.731006160164271,0.003842660518409837,0.8661800486618005,57,27,0.6785714285714286,0.1601123595505618,0.577837082922483,1.4990039134923412,411,24.0,14,8,0.5714285714285714,28,25,0.8928571428571429,72,41,0.5694444444444444,218,162,0.7431192660550459,18,11,0.6111111111111112,116,94,0.8103448275862069,14,9,0.6428571428571429,0.5694444444444444,0.6915946437628094,0.1688680821629831,7,conditional_query_d1|global+expert_load_effective_rank|global+flow_endpoint|global+mobility|global+state_action_alignment|global,5,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,primary,global
365,66,0.7494866529774127,0.004611192622091804,0.8468677494199536,76,42,0.6440677966101694,0.20821917808219179,0.554655413108161,1.526835814464159,431,22.0,14,12,0.8571428571428571,28,26,0.9285714285714286,72,40,0.5555555555555556,218,163,0.7477064220183486,18,11,0.6111111111111112,116,95,0.8189655172413793,14,12,0.8571428571428571,0.5555555555555556,0.7680279641119337,0.16647460187540328,7,conditional_query_d1|global+expert_load_effective_rank|global+flow_path|global+mobility|global+partial_query_d1|global,5,1,adjacent_query+denoising_steps+expert_load,3,False,True,primary,global
367,67,0.7535934291581109,0.0046810591769719835,0.8456221198156681,75,40,0.6521739130434783,0.20435967302452315,0.5513045579960038,1.5338565726528925,434,22.0,14,11,0.7857142857142857,28,26,0.9285714285714286,72,40,0.5555555555555556,218,163,0.7477064220183486,18,11,0.6111111111111112,116,98,0.8448275862068966,14,12,0.8571428571428571,0.5555555555555556,0.761518463760069,0.16447213752314385,7,conditional_effective_rank|global+conditional_query_d1|global+expert_load_effective_rank|global+flow_path|global+mobility|global,5,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,primary,global
361,66,0.7412731006160165,0.004611192622091804,0.8454332552693209,76,41,0.6495726495726496,0.21052631578947367,0.5467842441455455,1.5461916913689995,427,22.0,14,12,0.8571428571428571,28,26,0.9285714285714286,72,40,0.5555555555555556,218,162,0.7431192660550459,18,10,0.5555555555555556,116,96,0.8275862068965517,14,9,0.6428571428571429,0.5555555555555556,0.7300554303763053,0.18933750884738784,7,conditional_energy|global+conditional_query_d1|global+expert_load_effective_rank|global+mobility|global+partial_query_d1|global,5,1,adjacent_query+expert_load+token_graph,3,False,True,primary,global
361,66,0.7412731006160165,0.004611192622091804,0.8454332552693209,76,41,0.6495726495726496,0.21052631578947367,0.5467842441455455,1.5461916913689995,427,22.0,14,12,0.8571428571428571,28,26,0.9285714285714286,72,40,0.5555555555555556,218,162,0.7431192660550459,18,10,0.5555555555555556,116,96,0.8275862068965517,14,9,0.6428571428571429,0.5555555555555556,0.7300554303763053,0.18933750884738784,7,conditional_query_d1|global+expert_load_effective_rank|global+mobility|global+partial_query_d1|global+state_action_alignment|global,5,1,adjacent_query+expert_load+token_graph,3,False,True,primary,global
